epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51261,1.8879,14.2493,1.80084,0,0,0,0,1.93699,4.06431,2.15535,0.0677333,0.000325926,0.000325926
2,6.46225,1.94174,10.819,1.8239,0.04167,0.05556,0.06965,0.01393,1.95405,3.94253,1.82341,0.0347268,0.000652733,0.000652733
3,9.40996,1.96811,9.37271,1.90246,0.00043,0.16667,0.00189,0.00074,1.92786,4.13214,2.09795,0.00171368,0.000972939,0.000972939
4,12.3005,1.76259,8.52795,1.72582,0.41583,0.12253,0.08678,0.04165,2.01432,3.89742,2.29962,0.0009703,0.0009703,0.0009703
5,15.2409,1.95969,7.48186,1.82912,0.09601,0.19048,0.05807,0.02613,1.85198,10.1207,2.10867,0.0009604,0.0009604,0.0009604
6,18.1129,1.87343,8.45616,1.80422,0.32886,0.26163,0.12168,0.04329,1.93546,4.41136,1.98144,0.0009505,0.0009505,0.0009505
7,21.0481,1.97684,7.3526,1.91151,0.56368,0.05556,0.06213,0.03671,1.82525,5.88805,2.08004,0.0009406,0.0009406,0.0009406
8,23.9469,1.7405,6.92564,1.70177,0.01308,0.27778,0.02495,0.00963,1.77975,10.0246,1.90009,0.0009307,0.0009307,0.0009307
9,27.0174,1.80944,7.51938,1.70898,0.01776,0.05556,0.02544,0.00959,1.82599,3.89396,1.96088,0.0009208,0.0009208,0.0009208
10,29.9043,1.7405,5.90445,1.65407,0.07822,0.02381,0.02272,0.0067,2.06529,3.81811,1.93679,0.0009109,0.0009109,0.0009109
11,32.7826,1.69141,6.97149,1.6629,0.01033,0.51587,0.0542,0.02142,2.05064,3.65311,1.98925,0.000901,0.000901,0.000901
12,35.6953,1.92116,5.86061,1.87759,0.33114,0.10714,0.06832,0.01976,1.96207,3.47574,2.08495,0.0008911,0.0008911,0.0008911
13,38.6232,1.67483,5.82502,1.65431,0.39749,0.02381,0.09368,0.03307,1.92585,3.47926,2.00492,0.0008812,0.0008812,0.0008812
14,41.5051,1.82642,6.04541,1.70841,0.21527,0.07301,0.04363,0.01574,1.64149,3.18934,1.79099,0.0008713,0.0008713,0.0008713
15,44.3981,1.62115,5.18614,1.63348,0.07874,0.19444,0.16205,0.05403,1.58376,2.82909,1.79948,0.0008614,0.0008614,0.0008614
16,47.3262,1.73458,4.93848,1.79113,0.42607,0.27778,0.18351,0.05498,1.74815,3.25567,1.7993,0.0008515,0.0008515,0.0008515
17,50.2247,1.49031,4.55138,1.53374,0.29729,0.1508,0.13408,0.04637,1.86112,3.77051,1.91944,0.0008416,0.0008416,0.0008416
18,53.1287,1.78902,4.6037,1.81172,0.27605,0.21825,0.10889,0.0424,1.75211,3.34579,1.78964,0.0008317,0.0008317,0.0008317
19,56.0328,1.71042,4.50345,1.72354,0.2933,0.20422,0.11586,0.05741,1.71668,2.86444,1.77021,0.0008218,0.0008218,0.0008218
20,58.9697,1.69744,4.1841,1.652,0.28222,0.2239,0.13395,0.053,1.80467,2.99613,1.89725,0.0008119,0.0008119,0.0008119
21,61.853,1.60339,4.23183,1.67705,0.28181,0.07143,0.1121,0.03693,1.90623,2.98778,1.89422,0.000802,0.000802,0.000802
22,64.7782,1.64933,4.31577,1.64256,0.82589,0.04762,0.08158,0.02709,1.88556,3.40752,1.95164,0.0007921,0.0007921,0.0007921
23,67.6848,1.55549,3.47887,1.55541,0.41885,0.2381,0.1234,0.03688,1.66826,3.23559,1.74405,0.0007822,0.0007822,0.0007822
24,70.5993,1.5449,3.45784,1.56206,0.25226,0.18254,0.08464,0.02932,1.5216,2.97925,1.67441,0.0007723,0.0007723,0.0007723
25,73.4909,1.42044,3.84478,1.40653,0.28345,0.36905,0.13977,0.04477,1.79,2.6091,1.8374,0.0007624,0.0007624,0.0007624
26,76.3644,1.4198,3.40635,1.46618,0.2985,0.14623,0.1417,0.05633,1.80569,2.65656,1.83027,0.0007525,0.0007525,0.0007525
27,79.4279,1.82748,4.12754,1.78442,0.20898,0.21032,0.09522,0.04309,1.87315,3.24476,1.81857,0.0007426,0.0007426,0.0007426
28,82.3623,1.47469,3.99012,1.42827,0.02528,0.4246,0.12033,0.05699,1.78232,3.27938,1.7677,0.0007327,0.0007327,0.0007327
29,85.2424,1.60965,3.73271,1.57,0.50239,0.10317,0.12878,0.05886,1.79175,3.05313,1.81655,0.0007228,0.0007228,0.0007228
30,88.1823,1.57758,3.37414,1.55387,0.34392,0.12698,0.13142,0.06079,1.78729,3.2219,1.81087,0.0007129,0.0007129,0.0007129
31,91.0911,1.32628,3.20987,1.40391,0.27475,0.07143,0.09475,0.04032,1.84119,3.17344,1.80529,0.000703,0.000703,0.000703
32,94.0423,1.70501,3.1496,1.70536,0.41042,0.10317,0.09249,0.03487,1.93629,3.43817,1.88502,0.0006931,0.0006931,0.0006931
33,96.9423,1.61697,3.06285,1.54968,0.02315,0.44444,0.09015,0.04046,1.73671,3.37093,1.6734,0.0006832,0.0006832,0.0006832
34,99.864,1.61022,3.40169,1.59975,0.22883,0.09524,0.09639,0.03976,1.62219,3.34703,1.63412,0.0006733,0.0006733,0.0006733
35,102.79,1.75308,3.6902,1.72171,0.24374,0.37923,0.1342,0.04973,1.6022,3.66008,1.66381,0.0006634,0.0006634,0.0006634
36,105.721,1.6899,3.12162,1.67668,0.4402,0.23901,0.20953,0.08396,1.67705,2.67826,1.72507,0.0006535,0.0006535,0.0006535
37,108.632,1.39541,2.87714,1.43796,0.34556,0.24206,0.20615,0.08399,1.6592,2.60365,1.64396,0.0006436,0.0006436,0.0006436
38,111.546,1.37168,2.80155,1.43226,0.43303,0.19573,0.20177,0.10988,1.64457,2.69132,1.64093,0.0006337,0.0006337,0.0006337
39,114.465,1.36337,2.49857,1.33135,0.45299,0.12698,0.20032,0.10253,1.60521,2.55403,1.57557,0.0006238,0.0006238,0.0006238
40,117.375,1.32631,2.53023,1.34683,0.37445,0.21897,0.22272,0.09114,1.51301,2.86017,1.51844,0.0006139,0.0006139,0.0006139
41,120.273,1.38152,2.58346,1.47081,0.54827,0.15873,0.21012,0.10658,1.45384,2.74375,1.4922,0.000604,0.000604,0.000604
