epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1769,1.97821,22.1705,1.77583,0.18028,0.15128,0.08252,0.03696,1.9213,20.5547,1.72395,0.080425,0.000197727,0.000197727
2,26.7447,1.89575,15.4519,1.71178,0.56436,0.08849,0.0757,0.03413,1.93558,32.5744,1.87076,0.0606211,0.00039379,0.00039379
3,39.6153,1.88617,14.5811,1.72403,0.70217,0.10732,0.18453,0.10255,1.72159,21.95,1.73228,0.0408132,0.000585892,0.000585892
4,56.8653,1.92957,13.9362,1.78738,0.70739,0.14497,0.167,0.08293,2.07176,18.0308,2.18686,0.0210013,0.000774035,0.000774035
5,69.399,1.89852,13.4899,1.73748,0.52805,0.17563,0.17356,0.06348,2.22244,18.7839,2.18274,0.00118549,0.000958217,0.000958217
6,80.3684,1.83926,13.0583,1.72285,0.56269,0.30469,0.21116,0.08763,1.88718,16.3601,1.83407,0.0009505,0.0009505,0.0009505
7,91.5771,1.84818,12.1491,1.70601,0.32079,0.21516,0.23735,0.10228,2.03269,15.4117,1.91253,0.0009406,0.0009406,0.0009406
8,103.712,1.77431,11.5021,1.68348,0.54493,0.2485,0.21399,0.09763,2.03576,15.2953,1.87012,0.0009307,0.0009307,0.0009307
9,116.349,1.78143,11.8657,1.6608,0.7463,0.27416,0.39305,0.19204,1.91753,14.2764,1.85186,0.0009208,0.0009208,0.0009208
10,129.403,1.74109,11.5121,1.6387,0.52664,0.3367,0.31244,0.15646,1.78498,13.2601,1.75383,0.0009109,0.0009109,0.0009109
11,143.626,1.70077,10.7803,1.63787,0.63376,0.30254,0.38305,0.19345,1.95513,11.4383,1.809,0.000901,0.000901,0.000901
12,157.213,1.66831,9.88177,1.59437,0.68528,0.22779,0.26937,0.13889,1.76307,12.861,1.75571,0.0008911,0.0008911,0.0008911
13,169.582,1.64515,9.77056,1.58868,0.63221,0.36491,0.3119,0.16864,1.82824,11.7638,1.78579,0.0008812,0.0008812,0.0008812
14,177.394,1.63457,9.79328,1.58033,0.65157,0.38792,0.34502,0.18495,1.78297,11.0462,1.72796,0.0008713,0.0008713,0.0008713
15,184.377,1.70238,10.1664,1.66763,0.66354,0.25379,0.28809,0.14324,1.89994,12.9526,1.85295,0.0008614,0.0008614,0.0008614
16,191.551,1.5964,9.74084,1.57046,0.67964,0.24562,0.31571,0.17197,1.66536,12.4461,1.67631,0.0008515,0.0008515,0.0008515
17,198.701,1.63536,9.38824,1.60892,0.73071,0.34906,0.36016,0.19662,1.74485,10.9783,1.74794,0.0008416,0.0008416,0.0008416
18,206.011,1.57105,9.39549,1.55096,0.51994,0.39944,0.32439,0.17553,1.75561,11.7296,1.76676,0.0008317,0.0008317,0.0008317
19,213.202,1.52135,8.9644,1.49526,0.52559,0.39599,0.33896,0.17944,1.76286,11.3542,1.70532,0.0008218,0.0008218,0.0008218
20,220.289,1.49845,8.93089,1.49799,0.65362,0.33858,0.34434,0.18473,1.67581,10.6318,1.63234,0.0008119,0.0008119,0.0008119
21,227.443,1.56096,8.93521,1.53855,0.53598,0.38499,0.3542,0.18865,1.76125,10.8844,1.72001,0.000802,0.000802,0.000802
22,234.215,1.4354,8.33637,1.44428,0.67528,0.38678,0.3721,0.19433,1.75713,10.7108,1.7447,0.0007921,0.0007921,0.0007921
23,241.331,1.50988,8.75923,1.51147,0.70459,0.40242,0.41686,0.2158,1.75303,9.96349,1.71476,0.0007822,0.0007822,0.0007822
24,248.606,1.41446,8.20791,1.45592,0.7532,0.41854,0.44687,0.24352,1.8251,9.48124,1.78816,0.0007723,0.0007723,0.0007723
25,255.818,1.43864,8.05901,1.45835,0.66513,0.40158,0.45058,0.26552,1.65496,10.4444,1.60917,0.0007624,0.0007624,0.0007624
26,263.152,1.45361,8.13333,1.48878,0.53811,0.42881,0.3917,0.21004,1.89479,11.7048,1.78323,0.0007525,0.0007525,0.0007525
27,270.706,1.42336,7.68688,1.44205,0.58559,0.48706,0.4233,0.20874,1.73378,9.34515,1.7312,0.0007426,0.0007426,0.0007426
28,278.054,1.44929,8.23665,1.48482,0.69201,0.38751,0.38921,0.21483,1.78716,12.3756,1.7504,0.0007327,0.0007327,0.0007327
29,282.392,1.4613,7.76771,1.46738,0.7593,0.35756,0.59488,0.33659,1.65468,9.27378,1.62353,0.0007228,0.0007228,0.0007228
30,287.522,1.44976,7.79886,1.45157,0.65211,0.45204,0.46631,0.26033,1.67924,9.67503,1.67315,0.0007129,0.0007129,0.0007129
31,292.059,1.36243,7.44388,1.41995,0.60994,0.39606,0.37168,0.21005,1.63355,10.5552,1.61925,0.000703,0.000703,0.000703
32,298.756,1.33663,7.20097,1.37678,0.5075,0.52342,0.39185,0.2217,1.67945,9.96077,1.67306,0.0006931,0.0006931,0.0006931
33,304.823,1.38016,7.48358,1.42222,0.64958,0.42383,0.39258,0.23151,1.62733,9.47317,1.59393,0.0006832,0.0006832,0.0006832
34,311.235,1.32369,7.29933,1.39518,0.69496,0.40538,0.38261,0.22831,1.51415,9.80889,1.51912,0.0006733,0.0006733,0.0006733
35,317.155,1.37062,7.32563,1.42433,0.51602,0.49849,0.39176,0.22416,1.66582,9.73186,1.62269,0.0006634,0.0006634,0.0006634
36,323.293,1.35113,7.33141,1.40578,0.54995,0.4112,0.36428,0.19442,1.76598,10.6755,1.71884,0.0006535,0.0006535,0.0006535
