epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98299,1.98622,11.8218,1.77736,0.32166,0.34493,0.36303,0.1793,1.65075,12.3862,1.68582,0.080425,0.000197727,0.000197727
2,8.04476,1.83663,8.98882,1.67773,0.33842,0.40354,0.36455,0.17251,1.76976,10.8674,1.70132,0.0606171,0.000389852,0.000389852
3,12.0127,1.80559,8.61147,1.70174,0.502,0.33564,0.43094,0.24227,1.88797,12.007,1.85499,0.0408013,0.000574057,0.000574057
4,15.9757,1.92977,8.88474,1.82346,0.71522,0.40801,0.46601,0.24097,1.84299,16.7178,1.91987,0.0209776,0.000750342,0.000750342
5,19.8203,1.82962,7.96085,1.73159,0.38535,0.39225,0.35563,0.15565,1.91715,11.3379,1.86445,0.00114598,0.000918707,0.000918707
6,23.6195,1.80102,7.68692,1.70624,0.44537,0.55511,0.52048,0.25926,1.83876,9.48433,1.79378,0.000901,0.000901,0.000901
7,27.4655,1.76052,7.02443,1.66079,0.4974,0.55494,0.48537,0.22551,1.83966,7.59927,1.83053,0.0008812,0.0008812,0.0008812
8,31.2642,1.69871,6.90037,1.63063,0.66688,0.52208,0.56138,0.25636,1.98788,7.30977,1.89638,0.0008614,0.0008614,0.0008614
9,35.1837,1.72296,7.00677,1.68019,0.52042,0.56117,0.57826,0.2956,1.81819,6.64508,1.77788,0.0008416,0.0008416,0.0008416
10,39.0148,1.67945,6.37949,1.5784,0.5779,0.56279,0.60538,0.296,1.78713,6.96646,1.71433,0.0008218,0.0008218,0.0008218
11,42.8611,1.64687,6.25101,1.58671,0.73575,0.54788,0.65609,0.31173,1.91939,6.18248,1.80882,0.000802,0.000802,0.000802
12,46.7584,1.65403,6.22352,1.5763,0.86753,0.49928,0.7098,0.37794,1.68602,6.65178,1.646,0.0007822,0.0007822,0.0007822
13,50.8681,1.60073,6.0792,1.58387,0.59843,0.56174,0.63439,0.34296,1.77391,5.88045,1.76282,0.0007624,0.0007624,0.0007624
14,54.8103,1.56463,5.88415,1.55739,0.78281,0.53975,0.66559,0.29359,2.05014,6.15917,1.84956,0.0007426,0.0007426,0.0007426
15,58.5907,1.54509,5.87701,1.5814,0.6782,0.65835,0.72714,0.36616,1.84791,5.41825,1.76289,0.0007228,0.0007228,0.0007228
16,62.3698,1.45263,5.3058,1.49296,0.77337,0.6282,0.7243,0.38579,1.70433,5.18431,1.63619,0.000703,0.000703,0.000703
17,66.9127,1.48946,5.17126,1.49871,0.70324,0.59698,0.66343,0.35873,1.77204,5.35294,1.70999,0.0006832,0.0006832,0.0006832
18,70.996,1.45107,5.00122,1.4581,0.6224,0.53261,0.60033,0.28119,1.93558,6.25486,1.80966,0.0006634,0.0006634,0.0006634
19,75.4845,1.4701,5.28928,1.45346,0.75989,0.63698,0.71657,0.35638,1.81941,5.25475,1.74586,0.0006436,0.0006436,0.0006436
20,80.0954,1.38473,4.80663,1.43312,0.77881,0.66742,0.7824,0.43302,1.7028,4.98748,1.69605,0.0006238,0.0006238,0.0006238
21,84.4465,1.42417,4.8247,1.46273,0.63661,0.72537,0.74176,0.40296,1.71973,5.34988,1.66317,0.000604,0.000604,0.000604
22,89.0414,1.35277,4.60199,1.3946,0.79009,0.64744,0.73783,0.38193,1.73376,5.27528,1.68905,0.0005842,0.0005842,0.0005842
23,93.2886,1.39976,4.77569,1.43791,0.71785,0.61904,0.69237,0.36618,1.70362,5.29275,1.65045,0.0005644,0.0005644,0.0005644
24,97.889,1.3254,4.56933,1.39742,0.7459,0.63974,0.76718,0.39502,1.74974,4.98219,1.73342,0.0005446,0.0005446,0.0005446
