epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84306,2.07155,71.3727,1.99276,0,0,0,0,2.26679,23.9599,2.16892,0.0805422,9.77778e-05,9.77778e-05
2,11.4771,2.19182,43.8435,2.04677,0,0,0,0,1.76703,25.0562,1.58628,0.0606403,0.00019582,0.00019582
3,14.851,1.98481,36.8863,1.97811,0.05556,0.05556,0.04634,0.0139,1.71915,24.0242,1.69431,0.0407363,0.000291882,0.000291882
4,18.2933,1.70781,35.5494,1.6892,0.48306,0.05556,0.07176,0.03702,1.8017,21.4329,1.90747,0.0208304,0.000385964,0.000385964
5,21.9636,1.84688,28.5978,1.79562,0.02668,0.07937,0.03215,0.01266,1.81582,20.5863,1.90349,0.00092251,0.000478066,0.000478066
6,26.963,1.92863,28.1542,1.89799,0.33643,0.10317,0.07533,0.0191,1.82219,34.7524,1.83538,0.00047525,0.00047525,0.00047525
7,30.5549,1.63302,30.7441,1.63709,0.6346,0.04762,0.06957,0.03672,1.97622,19.3427,1.91041,0.0004703,0.0004703,0.0004703
8,33.9326,1.83073,26.5172,1.79861,0.27735,0.21032,0.13592,0.04648,1.86186,18.6708,2.03981,0.00046535,0.00046535,0.00046535
9,37.4931,1.97044,25.8211,1.94499,0.24742,0.15079,0.13256,0.04477,1.94502,16.8064,2.10498,0.0004604,0.0004604,0.0004604
10,41.0928,1.63891,26.1128,1.66104,0.32554,0.06855,0.07898,0.02936,1.99891,18.8851,2.0888,0.00045545,0.00045545,0.00045545
11,44.6825,1.9287,26.1267,1.78656,0.5891,0.02381,0.05174,0.0167,2.01954,18.8627,2.15183,0.0004505,0.0004505,0.0004505
12,48.0089,1.85903,25.572,1.79013,0.30788,0.10714,0.13596,0.03487,1.75217,18.8403,1.91573,0.00044555,0.00044555,0.00044555
13,51.6689,2.1529,25.9871,2.06498,0.01576,0.36905,0.02107,0.00992,1.80046,21.8021,1.86615,0.0004406,0.0004406,0.0004406
14,55.2331,1.83104,22.9222,1.81367,0.53895,0.02381,0.03764,0.01562,1.79148,18.484,1.95899,0.00043565,0.00043565,0.00043565
15,58.7022,2.00697,23.0088,2.02019,0.20614,0.1746,0.07445,0.02768,1.82143,22.2469,2.1855,0.0004307,0.0004307,0.0004307
16,62.0089,1.95365,23.717,1.9926,0.3601,0.10317,0.14074,0.05712,1.64906,17.1001,2.0602,0.00042575,0.00042575,0.00042575
17,65.3434,1.71758,23.2845,1.88949,0.71213,0.10714,0.09891,0.03274,1.85658,18.7933,2.07612,0.0004208,0.0004208,0.0004208
18,68.6168,1.78434,21.1084,1.82508,0.72162,0.15452,0.24109,0.10109,1.88253,17.18,1.92933,0.00041585,0.00041585,0.00041585
19,71.9405,1.69001,20.4783,1.78295,0.55559,0.23517,0.22587,0.06781,1.87503,18.1978,1.87728,0.0004109,0.0004109,0.0004109
20,75.2617,1.6895,19.7597,1.71604,0.25079,0.1627,0.09607,0.0442,1.65351,19.3485,1.71858,0.00040595,0.00040595,0.00040595
21,78.5832,1.84288,21.6494,1.86516,0.20866,0.1627,0.05776,0.02999,1.75199,21.2815,1.8546,0.000401,0.000401,0.000401
22,81.8811,1.61109,21.4965,1.66576,0.52871,0.10714,0.10536,0.03847,1.89869,19.956,2.05037,0.00039605,0.00039605,0.00039605
23,85.2168,1.82819,20.1599,1.84716,0.36429,0.21032,0.15,0.07382,1.58214,18.1959,1.7718,0.0003911,0.0003911,0.0003911
