epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52851,1.99398,76.699,1.91772,0,0,0,0,2.71189,25.4228,2.53254,0.0805422,9.77778e-05,9.77778e-05
2,8.08446,2.20314,44.965,2.0616,0,0,0,0,1.82285,25.0574,1.9191,0.0606403,0.00019582,0.00019582
3,11.8637,1.87578,38.6797,1.84065,0,0,0,0,1.93293,25.19,1.98171,0.0407363,0.000291882,0.000291882
4,15.604,1.62637,34.6239,1.67747,0.30648,0.02381,0.04638,0.02304,1.84257,20.7653,2.34648,0.0208304,0.000385964,0.000385964
5,19.3295,1.83166,30.3583,1.95434,0.0382,0.12096,0.05298,0.02705,2.0746,22.2023,2.22604,0.00092251,0.000478066,0.000478066
6,23.1105,1.88828,29.2482,2.00265,0.12912,0.07937,0.06644,0.03325,1.77167,18.7578,1.95586,0.00047525,0.00047525,0.00047525
7,26.9275,1.85912,27.9342,2.02216,0.07596,0.26984,0.11284,0.04731,1.88188,18.3527,2.04986,0.0004703,0.0004703,0.0004703
8,30.8051,1.75215,24.8733,1.90962,0.58938,0.07937,0.10064,0.05577,1.92086,20.0121,2.10617,0.00046535,0.00046535,0.00046535
9,34.6757,1.96001,25.608,2.08174,0.0757,0.32143,0.07745,0.03664,1.81052,22.3769,2.03367,0.0004604,0.0004604,0.0004604
10,38.4761,1.49187,26.0852,1.69562,0.05314,0.22222,0.07766,0.02676,1.84408,21.265,2.01692,0.00045545,0.00045545,0.00045545
11,42.5083,1.8404,24.2373,1.9649,0.05043,0.13327,0.09147,0.02786,1.99932,22.4232,2.17395,0.0004505,0.0004505,0.0004505
12,46.3153,1.85999,25.5875,2.06117,0.38379,0.24206,0.16203,0.04598,1.96572,19.3641,2.11416,0.00044555,0.00044555,0.00044555
13,50.0538,2.09112,26.1155,2.26661,0.54882,0.13889,0.19879,0.09086,2.01608,19.4857,2.19732,0.0004406,0.0004406,0.0004406
14,53.7976,2.03244,23.3477,2.23217,0.09655,0.24381,0.09096,0.03769,1.9389,19.7818,2.13155,0.00043565,0.00043565,0.00043565
15,57.5101,1.91792,21.4995,2.05481,0.35489,0.17416,0.19755,0.08981,1.7895,17.0868,2.07807,0.0004307,0.0004307,0.0004307
16,61.3087,1.99994,23.4306,2.14788,0.01485,0.34921,0.05581,0.0256,1.93161,19.7468,2.18403,0.00042575,0.00042575,0.00042575
17,65.0476,1.71349,20.6008,1.84968,0.21934,0.15476,0.16825,0.0499,1.72509,19.4123,1.93762,0.0004208,0.0004208,0.0004208
18,68.7415,1.56471,21.0572,1.7484,0.16539,0.34921,0.12566,0.04858,1.60291,18.9703,1.92335,0.00041585,0.00041585,0.00041585
19,72.4565,1.57332,20.3145,1.79577,0.52462,0.11111,0.18429,0.07329,1.70494,17.9323,1.91672,0.0004109,0.0004109,0.0004109
20,76.1668,1.73686,21.3579,1.91684,0.24289,0.27381,0.20208,0.08781,1.63289,17.4842,1.87289,0.00040595,0.00040595,0.00040595
21,79.8764,1.89157,23.0006,2.05699,0.72316,0.11111,0.16202,0.04495,1.82471,17.3783,2.26957,0.000401,0.000401,0.000401
22,83.5816,1.61116,20.596,1.76394,0.80462,0.05556,0.14802,0.04585,1.81223,19.3926,1.99364,0.00039605,0.00039605,0.00039605
23,87.2989,1.80238,20.0663,1.99034,0.59586,0.18088,0.14321,0.04888,1.70912,18.7303,1.97956,0.0003911,0.0003911,0.0003911
24,91.0312,1.9954,22.4801,2.01563,0.24002,0.13095,0.11927,0.05659,1.69426,19.8452,2.01078,0.00038615,0.00038615,0.00038615
25,94.7428,1.57336,18.7708,1.66363,0.81689,0.04762,0.22164,0.10415,1.68028,19.5464,1.97607,0.0003812,0.0003812,0.0003812
26,98.4613,1.66206,18.8082,1.90394,0.08129,0.29762,0.10032,0.03309,1.84083,21.3408,2.19838,0.00037625,0.00037625,0.00037625
27,102.176,1.69382,18.1864,1.78184,0.24282,0.24206,0.08095,0.03486,1.73578,18.4239,2.04807,0.0003713,0.0003713,0.0003713
28,105.891,1.64199,18.9864,1.90994,0.43095,0.21032,0.10823,0.0335,1.87948,19.2642,2.28426,0.00036635,0.00036635,0.00036635
29,109.767,1.66824,18.4751,1.81399,0.23791,0.26587,0.09247,0.02184,1.9974,18.5313,2.52165,0.0003614,0.0003614,0.0003614
30,113.493,1.81568,18.3516,1.93738,0.01941,0.64286,0.06347,0.0182,1.79796,18.858,2.05753,0.00035645,0.00035645,0.00035645
31,117.211,1.52394,16.3218,1.72926,0.27148,0.13095,0.11624,0.04595,1.72932,18.0171,1.95873,0.0003515,0.0003515,0.0003515
32,120.952,1.71783,17.2139,1.78042,0.47533,0.1627,0.20722,0.07576,1.72793,18.248,1.92003,0.00034655,0.00034655,0.00034655
33,124.695,1.72335,17.1348,1.83167,0.35537,0.21825,0.20406,0.08275,1.73827,17.3054,1.95268,0.0003416,0.0003416,0.0003416
34,128.399,1.5492,17.2615,1.79849,0.49764,0.26208,0.25934,0.08565,1.77641,15.5692,2.01298,0.00033665,0.00033665,0.00033665
35,132.139,1.80979,17.8762,1.87067,0.39951,0.24206,0.22879,0.08378,2.02363,15.6889,2.19497,0.0003317,0.0003317,0.0003317
36,135.861,1.92343,16.5832,2.06892,0.46173,0.18651,0.2351,0.0976,1.81265,16.6361,2.02157,0.00032675,0.00032675,0.00032675
37,139.6,1.6102,16.2067,1.81958,0.40095,0.19048,0.21471,0.10344,1.55028,15.1609,1.89075,0.0003218,0.0003218,0.0003218
38,143.325,1.68145,17.0441,1.88956,0.43693,0.22535,0.24714,0.11879,1.5827,15.2587,1.92463,0.00031685,0.00031685,0.00031685
39,147.077,1.65476,15.0119,1.83846,0.43649,0.32143,0.29555,0.13467,1.66609,17.305,1.9231,0.0003119,0.0003119,0.0003119
40,150.83,1.67445,14.7558,1.8346,0.36796,0.37698,0.19523,0.0761,1.69378,15.4683,1.91343,0.00030695,0.00030695,0.00030695
41,154.546,1.48939,16.112,1.69307,0.31754,0.2619,0.1461,0.05399,1.70499,16.28,1.97392,0.000302,0.000302,0.000302
42,158.294,1.60494,14.4097,1.84751,0.29531,0.2619,0.15128,0.06074,1.67702,16.0999,1.97811,0.00029705,0.00029705,0.00029705
43,162.047,1.60155,13.3303,1.84559,0.30346,0.28781,0.21174,0.0926,1.8001,15.6712,2.00822,0.0002921,0.0002921,0.0002921
44,165.79,1.78701,16.1111,2.0372,0.28674,0.29762,0.14278,0.06795,1.84525,17.7024,2.08662,0.00028715,0.00028715,0.00028715
45,169.515,1.61181,16.04,1.76187,0.30919,0.29762,0.15905,0.08378,1.89983,18.3797,2.05237,0.0002822,0.0002822,0.0002822
46,173.359,1.52167,14.1418,1.80521,0.32528,0.32078,0.16405,0.09168,1.8492,17.2818,2.00826,0.00027725,0.00027725,0.00027725
